(-0.07543394714593887, -0.02480483427643776) %, 6.370039463043213] 
(-0.07504488527774811, -0.025113096460700035) %, 6.369561672210693] 
(-0.07405485957860947, -0.025237716734409332) %, 6.368200302124023] 
(-0.07402493059635162, -0.025931259617209435) %, 6.367231369018555] 
(-0.07345808297395706, -0.02688552625477314) %, 6.365252494812012] 
(-0.07300867140293121, -0.027101820334792137) %, 6.364546298980713] 
(-0.07182332128286362, -0.02716859057545662) %, 6.363927364349365] 
(-0.07170888781547546, -0.027533220127224922) %, 6.363528728485107] 
(-0.07152466475963593, -0.028155967593193054) %, 6.362886428833008] 
(-0.07118888944387436, -0.028262531384825706) %, 6.362287998199463] 
(-0.07035736739635468, -0.02803630195558071) %, 6.361547470092773] 
(-0.07021984457969666, -0.028488460928201675) %, 6.361268520355225] 
(-0.06981223821640015, -0.029455551877617836) %, 6.361083984375] 
(-0.06948699057102203, -0.029638465493917465) %, 6.361167907714844] 
(-0.0685637816786766, -0.029623009264469147) %, 6.361683368682861] 
(-0.06826971471309662, -0.029872113838791847) %, 6.361575603485107] 
(-0.06796813011169434, -0.030708737671375275) %, 6.360995769500732] 
(-0.067572683095932, -0.030914336442947388) %, 6.3610920906066895] 
(-0.06667302548885345, -0.030849667266011238) %, 6.36175012588501] 
(-0.06630760431289673, -0.03112359531223774) %, 6.361937046051025] 
(-0.06554063409566879, -0.032103825360536575) %, 6.366523742675781] 
(-0.064582958817482, -0.03217173367738724) %, 6.385842800140381] 
(-0.06274697929620743, -0.031012432649731636) %, 6.446868896484375] 
(-0.06202622130513191, -0.030000803992152214) %, 6.491100311279297] 
(-0.06175951287150383, -0.02797255851328373) %, 6.605618953704834] 
(-0.06185341253876686, -0.025964807718992233) %, 6.695032596588135] 
(-0.062363531440496445, -0.021972090005874634) %, 6.859616279602051] 
(-0.06235136464238167, -0.0199973713606596) %, 6.948739051818848] 
(-0.057312849909067154, -0.01723991334438324) %, 7.143261432647705] 
(-0.04842478036880493, -0.015443110838532448) %, 7.266473770141602] 
(-0.027164306491613388, -0.012786773033440113) %, 7.450700759887695] 
(-0.013428442180156708, -0.011450832709670067) %, 7.535671234130859] 
(0.01766916550695896, -0.009153466671705246) %, 7.694200038909912] 
(0.042996544390916824, -0.005556144751608372) %, 7.787975788116455] 
(0.0913972407579422, 0.006933463271707296) %, 7.930430889129639] 
(0.12440726906061172, 0.020248109474778175) %, 8.014678955078125] 
(0.16967378556728363, 0.04708394780755043) %, 8.126152038574219] 
(0.20261715352535248, 0.07224360853433609) %, 8.201641082763672] 
(0.25421929359436035, 0.12281222641468048) %, 8.3151273727417] 
(0.2788137197494507, 0.15272831916809082) %, 8.36867618560791] 
(0.3174583315849304, 0.22288361191749573) %, 8.469755172729492] 
(0.33840322494506836, 0.27232250571250916) %, 8.529479026794434] 
(0.3665560185909271, 0.35935959219932556) %, 8.6202392578125] 
(0.37780579924583435, 0.4061908721923828) %, 8.663450241088867] 
(0.38386330008506775, 0.5082793831825256) %, 8.744709968566895] 
(0.38276416063308716, 0.5754939913749695) %, 8.792488098144531] 
(0.37403345108032227, 0.6870846152305603) %, 8.864721298217773] 
(0.3638661205768585, 0.7588373422622681) %, 8.907482147216797] 
(0.3321097195148468, 0.861670970916748) %, 8.963969230651855] 
(0.3042829930782318, 0.9359533786773682) %, 9.002458572387695] 
